UserID,DeviceID,LogTime,S No
657,OX-8862021010097,2022-09-27 08:37:34,8107
546,OX-8862021010097,2022-09-27 08:43:30,8108
664,OX-8862021010097,2022-09-27 08:44:01,8109
535,OX-8862021010097,2022-09-27 08:51:07,8110
615,OX-8862021010097,2022-09-27 08:57:56,8111
211,OX-8862021010097,2022-09-27 08:58:18,8112
230,OX-8862021010097,2022-09-27 09:00:41,8113
95,OX-8862021010097,2022-09-27 09:19:38,8114
27,OX-8862021010097,2022-09-27 09:23:38,8115
5,OX-8862021010097,2022-09-27 09:34:28,8116
652,OX-8862021010097,2022-09-27 09:46:47,8117
3,OX-8862021010097,2022-09-27 09:50:28,8118
140,OX-8862021010097,2022-09-27 09:50:36,8119
326,OX-8862021010097,2022-09-27 09:52:10,8120
21,OX-8862021010097,2022-09-27 09:53:14,8121
71,OX-8862021010097,2022-09-27 09:53:22,8122
80,OX-8862021010097,2022-09-27 10:01:15,8123
281,OX-8862021010097,2022-09-27 10:55:45,8124
1,OX-8862021010010,2022-09-27 11:03:25,3594
1,OX-8862021010010,2022-09-27 11:03:55,3595
1,OX-8862021010010,2022-09-27 11:04:17,3596
1,OX-8862021010010,2022-09-27 11:04:21,3597
1,OX-8862021010010,2022-09-27 11:04:25,3598
1,OX-8862021010010,2022-09-27 11:04:29,3599
1,OX-8862021010010,2022-09-27 11:04:33,3600
1,OX-8862021010010,2022-09-27 11:04:42,3601
1,OX-8862021010010,2022-09-27 11:04:46,3602
1,OX-8862021010010,2022-09-27 11:04:50,3603
558,OX-8862021010097,2022-09-27 11:11:43,8125
109,OX-8862021010015,2022-09-27 11:27:18,14859
563,OX-8862021010082,2022-09-27 11:30:58,11537
109,OX-8862021010015,2022-09-27 11:29:34,14860
563,OX-8862021010082,2022-09-27 11:33:55,11538
30,OX-8862021010082,2022-09-27 12:08:51,11539
30,OX-8862021010082,2022-09-27 12:15:31,11540
563,OX-8862021010082,2022-09-27 12:17:56,11541
50,OX-8862021010014,2022-09-27 12:19:36,22935
50,OX-8862021010014,2022-09-27 12:20:30,22936
563,OX-8862021010082,2022-09-27 12:25:50,11542
524,OX-8862021010003,2022-09-27 12:31:05,21771
256,OX-8862021010096,2022-09-27 12:33:24,7523
404,OX-8862021010013,2022-09-27 12:45:54,6605
201,OX-8862021010003,2022-09-27 12:51:36,21772
404,OX-8862021010013,2022-09-27 12:48:39,6606
668,OX-8862021010003,2022-09-27 12:55:29,21773
282,FC-8300T20094181,2022-09-27 12:52:38,20175
282,FC-8300T20094181,2022-09-27 12:54:59,20176
565,OX-8862021010015,2022-09-27 12:56:05,14861
605,OX-8862021010015,2022-09-27 12:56:34,14862
546,OX-8862021010097,2022-09-27 12:59:04,8126
1,OX-8862021010010,2022-09-27 13:01:45,3606
1,OX-8862021010010,2022-09-27 13:01:49,3607
160,OX-8862021010087,2022-09-27 13:02:32,248
109,OX-8862021010015,2022-09-27 13:01:06,14863
578,FC-8300T20094181,2022-09-27 13:02:59,20177
1,OX-8862021010010,2022-09-27 13:06:46,3608
578,FC-8300T20094181,2022-09-27 13:09:54,20178
256,OX-8862021010096,2022-09-27 13:11:25,7524
201,OX-8862021010003,2022-09-27 13:25:48,21774
619,OX-8862021010096,2022-09-27 13:21:48,7525
122,OX-8862021010012,2022-09-27 13:27:28,6020
122,OX-8862021010012,2022-09-27 13:27:33,6021
257,OX-8862021010096,2022-09-27 13:27:02,7526
535,OX-8862021010097,2022-09-27 13:29:05,8127
201,OX-8862021010003,2022-09-27 13:34:39,21775
582,OX-8862021010012,2022-09-27 13:34:36,6022
619,OX-8862021010096,2022-09-27 13:36:05,7527
